id,name,is_animation_studio,site_url,favorites
6383,LX Animation Studio,True,https://anilist.co/studio/6383,5
7063,iDreamSky,False,https://anilist.co/studio/7063,0
6655,BeDream,False,https://anilist.co/studio/6655,5
6494,Aqua Entertainment,True,https://anilist.co/studio/6494,1
6585,Lingsanwu Animation,True,https://anilist.co/studio/6585,1
6648,Comic Studio,False,https://anilist.co/studio/6648,0
6329,Children's Playground Creative,False,https://anilist.co/studio/6329,0
6330,Cheer Digiart,False,https://anilist.co/studio/6330,0
6691,Cloud22,False,https://anilist.co/studio/6691,0
6689,Amumo 98,False,https://anilist.co/studio/6689,0
6690,AYUMI ONE.,False,https://anilist.co/studio/6690,1
7169,Tohjak,False,https://anilist.co/studio/7169,0
7103,Shufu to Seikatsusha,False,https://anilist.co/studio/7103,0
6336,The National Film Center Japan,True,https://anilist.co/studio/6336,0
6425,Tianwen Kadokawa,True,https://anilist.co/studio/6425,0
6989,Observatory Animation,True,https://anilist.co/studio/6989,1
6342,Cloud Art,True,https://anilist.co/studio/6342,2
6343,Rastar,True,https://anilist.co/studio/6343,0
6786,BloomZ,False,https://anilist.co/studio/6786,0
6808,C-one,False,https://anilist.co/studio/6808,1
6810,AMG Entertainment,False,https://anilist.co/studio/6810,1
6807,Hokkaidou Bunka Housou,False,https://anilist.co/studio/6807,0
6811,Miyazaki Broadcasting,False,https://anilist.co/studio/6811,0
6352,SAKURAPRIN Animation,True,https://anilist.co/studio/6352,4
6358,Studio Goindol,True,https://anilist.co/studio/6358,1
6359,eigoMANGA,False,https://anilist.co/studio/6359,1
7401,Onahama Community Development Citizen Council,False,https://anilist.co/studio/7401,0
6363,FILMONY,True,https://anilist.co/studio/6363,6
7317,Nihon Keizai Koukokusha,False,https://anilist.co/studio/7317,0
6440,Gosay Studio,True,https://anilist.co/studio/6440,0
6372,happyproject,True,https://anilist.co/studio/6372,0
6374,Culture Entertainment,False,https://anilist.co/studio/6374,1
6373,33 Collective,True,https://anilist.co/studio/6373,0
