staff_id,occupation
175591,Writer
97522,Mangaka
99340,Mangaka
269463,Translator
242269,Letterer
100921,Director
100921,Storyboard Artist
99564,Scriptwriter
131005,Animator
131005,Designer
117345,Audio Engineer
144509,Audio Engineer
165700,Band
102500,Producer
150001,Producer
101758,Producer
148295,Producer
150000,Producer
220403,Producer
157908,Producer
194601,Producer
153877,Producer
119768,Animator
99142,Mangaka
217221,Translator
223779,Translator
237561,Translator
261550,Touch-up Artist
261550,Letterer
153804,Producer
142618,Producer
296724,Producer
142333,Producer
151514,Producer
296723,Producer
142325,Producer
136007,Animator
235371,Producer
111457,Background Artist
147034,Color Designer
215968,Translator
218911,Translator
227615,Translator
230257,Translator
230258,Translator
227618,Translator
110799,Director
110799,Storyboarder 
130405,Director
130405,Animator
105817,Scriptwriter
183090,Band
138389,Painter
255070,Producer
125367,Designer
146396,Background Artist
254424,Producer
175159,Audio Engineer
182775,Audio Engineer
162085,Director
162085,Storyboarder 
155054,Composite Artist
219593,Magazine Editor
188029,Composite Artist
188029,CG Artist
247741,Band
255970,Designer
255967,CG Artist
255976,Editor
247746,Composer
247746,Arranger
247746,Vocalist
230206,Composer
230206,Arranger
273346,Vocalist
273347,Vocalist
273347,Lyricist
114175,Scriptwriter
111205,Scriptwriter
148533,Background Artist
97701,Scriptwriter
105133,Background Artist
150699,Composite Artist
210270,Animator
146403,Animator
200165,Animator
204276,Animator
152037,Animator
184218,Painter
158134,Painter
187995,Painter
175169,Composite Artist
203803,Composite Artist
220923,Production Manager
207773,Audio Engineer
190770,Audio Engineer
101757,Composite Artist
260455,CG Artist
260455,Animator
141161,Illustrator
119758,Scriptwriter
105384,Director
105384,Storyboarder 
124675,Animator
124675,Designer
132895,Director
132895,Animator
132895,Character Designer
118899,Director
118899,Storyboarder 
105935,Director
105935,Animator
118488,Animator
144072,Director
144072,Storyboard Artist
116487,Animator
116487,Designer
203259,Animator
137934,Animator
137934,Storyboarder
197735,Animator
155065,Director
155065,Storyboarder
133160,Animator
151053,Animator
126736,Musician
103102,Background Artist
136267,Director
136267,Storyboarder 
95670,Voice Actor
96222,Voice Actor
103573,Director
103573,Writer
106783,Scriptwriter
168536,Choir
100660,Director
100660,Designer
104623,Director
104623,Mangaka
106507,Director
106507,Storyboarder 
117587,Director
100094,Director
104326,Producer
104723,Director
135975,Animator
105213,Scriptwriter
105213,Writer
111443,Audio Engineer
117243,Scriptwriter
133252,Animator
117581,Art Director
117581,Background Artist
138558,Editor
144482,Designer
104807,Producer
147227,Color Designer
147227,Painter
158838,Photographer
191486,Producer
168603,Producer
147238,Director
147238,Animator
104058,Director
100639,Director
117189,Director
100957,Director
100957,Scriptwriter
147211,Scriptwriter
106687,Scriptwriter
111371,Director
158810,Producer
96367,Voice Actor
100241,Mangaka
100241,Producer
129521,Animator
129521,Illustrator
135804,Scriptwriter
100083,Director
100083,Storyboarder 
100951,Composer
100951,Arranger
105250,Animator
105250,Designer
106638,Animator
106638,Designer
109509,Director
109509,Storyboard Artist
109521,Animator
109521,Designer
116365,Animator
213307,Artist
213307,Illustrator
161497,Scriptwriter
180223,Composer
100180,Director
181326,Animator
149647,Animator
149647,Designer
106503,Animator
106503,Designer
97967,Artist
97967,Illustrator
161044,Background Artist
117579,Animator
196198,Background Artist
97337,Director
97337,Writer
97337,Lyricist
130882,Scriptwriter
146196,Background Artist
226728,Producer
196551,Background Artist
127482,Composite Artist
102998,Animator
102998,Director
174423,Painter
196768,Producer
196212,Composite Artist
157745,Painter
130396,Animator
186608,Producer
196214,Producer
105936,Director
105936,Animator
105936,Designer
195022,Editor
107847,Animator
107847,Storyboarder 
165568,Voice Actor
192808,Animator
116319,Animator
146935,Animator
146935,Designer
227387,Animator
153957,Animator
192082,Producer
161046,Director
161046,Storyboard Artist
100112,Arranger
100112,Composer
100981,Director
100981,Animator
100991,Animator
101727,Animator
101727,Designer
102071,Scriptwriter
103170,Producer
107584,Animator
107584,Designer
122094,Scriptwriter
97257,Mangaka
101024,Vocalist
101722,Director
101722,Storyboarder 
105304,Producer
257063,Producer
101490,Scriptwriter
196560,Scriptwriter
95990,Voice Actor
174499,Scriptwriter
235175,Director
235175,Mangaka
235176,Composer
235182,Background Artist
170486,Composite Artist
173837,Animator
173837,Designer
113335,Voice Actor
113335,Sound Director
227367,Director
227367,Animator
212935,Editor
135276,Scriptwriter
135276,Planner
101077,Scriptwriter
101228,Director
101228,Storyboard Artist
101228,Scriptwriter
101465,Director
101465,Storyboarder 
101801,Animator
103268,Animator
103268,Director
105957,Animator
105957,Designer
292148,Translator
292148,Audio Engineer
292067,ADR Director
286110,Voice Actor
286110,ADR Director
286110,Translator
279974,Translator
279974,ADR Director
301482,Translator
301483,Translator
301483,Voice Actor
301485,Translator
301487,Production Manager
301487,Translator
101392,Voice Actor
142481,Audio Engineer
96828,Voice Actor
107739,Vocalist
238809,Lyricist
241294,Composer
241294,Arranger
241294,Musician
169740,Musician
241301,Mangaka
154450,Animator
241302,Producer
101885,Animator
101885,Designer
314691,ADR Director
314691,Audio Engineer
314691,Production Manager
100559,Designer
100559,Illustrator
104516,Director
104516,Storyboarder 
102040,Background Artist
226376,Producer
99097,Director
104340,Composite Artist
104256,Voice Actor
105258,Musician
143068,Animator
106476,Designer
150316,Background Artist
199589,Producer
153304,Director
153304,Storyboarder 
213305,Producer
140350,Composite Artist
144121,Audio Engineer
195648,Audio Engineer
134119,Editor
192298,Audio Engineer
102217,Director
108639,Voice Actor
108639,Vocalist
110749,Animator
110749,Designer
121275,Director
121275,Animator
120874,Scriptwriter
122252,Background Artist
114914,Director
114914,Animator
114914,Composite Artist
148648,Animator
131333,Animator
119422,Art Director
155050,Animator
211924,Composer
233810,Scriptwriter
268214,Director
148461,Background Artist
146390,Animator
146390,Illustrator
149343,Producer
236113,Producer
144556,Producer
209753,Producer
149342,Producer
195682,Producer
237811,Producer
148174,Producer
144508,Composite Artist
100956,Director
100956,Animator
133512,Animator
133512,Director
206720,Audio Engineer
150005,Audio Engineer
154013,Animator
143791,Animator
128243,Director
128243,Animator
163684,Producer
106626,Director
106626,Animator
107651,Mangaka
116311,Vocalist
120544,Director
120544,Animator
121747,Animator
118779,Animator
124000,Animator
120602,Animator
104029,Director
104029,Animator
104029,Designer
100549,Vocalist
111797,Animator
111797,Designer
117701,Director
117701,Storyboard Artist
117701,Animator
105419,Animator
106547,Director
124083,Animator
124083,Designer
95683,Voice Actor
119336,Director
119336,Storyboarder 
130467,Scriptwriter
150931,Lyricist
150931,Composer
150931,Arranger
159599,Lyricist
159599,Composer
159599,Arranger
159601,Composer
121908,Background Artist
101549,Audio Engineer
271156,Musician
200716,Band
102263,Voice Actor
118577,Voice Actor
118577,Vocalist
119900,Voice Actor
119900,Vocalist
119903,Voice Actor
119903,Vocalist
119438,Voice Actor
119438,Vocalist
119904,Voice Actor
119904,Vocalist
119905,Voice Actor
119905,Vocalist
119902,Voice Actor
119906,Voice Actor
119901,Voice Actor
119901,Vocalist
201424,Composite Artist
170410,Background Artist
146478,Editor
154782,Musician
118986,Animator
118986,Designer
119895,Animator
107198,Scriptwriter
98007,Writer
119687,Background Artist
119793,Painter
119788,Composite Artist
119792,Editor
192565,Animator
163070,Musician
217692,Composer
118543,Mangaka
119064,Mangaka
119064,Illustrator
146747,Background Artist
186583,CG Artist
155310,CG Artist
127697,CG Director
150929,Audio Engineer
153207,Composite Artist
148562,Director
148562,Storyboard Artist
138618,Mangaka
221525,Mangaka
146155,Animator
131143,Animator
191720,Animator
119350,Background Artist
147481,Audio Engineer
149011,Painter
143189,Editor
143241,Composite Artist
290429,Artist
235575,Animator
147278,Animator
132966,Animator
157561,Animator
136750,Animator
142602,Animator
191173,Animator
143256,Animator
119452,Writer
125101,Illustrator
146736,Audio Engineer
256406,Audio Engineer
213540,Music Selector
179862,Production Manager
106444,Director
106444,Animator
118916,Animator
118916,Designer
95494,Voice Actor
118490,Vocalist
120174,Director
120174,Composite Artist
132762,Art Director
112297,Voice Actor
112297,Vocalist
109605,Lyricist
109605,Composer
109605,Arranger
189479,Voice Actor
119609,Voice Actor
127740,Voice Actor
218313,Audio Engineer
128301,Mangaka
148162,Animator
164058,Painter
147791,CG Artist
147791,Storyboard Artist
129922,Voice Actor
