media_id,status,amount
50550,CURRENT,19
50550,PLANNING,166
50550,COMPLETED,49
50550,DROPPED,8
50550,PAUSED,3
8599,CURRENT,70
8599,PLANNING,1033
8599,COMPLETED,2264
8599,DROPPED,41
8599,PAUSED,51
49018,CURRENT,10
49018,PLANNING,129
49018,COMPLETED,238
49018,DROPPED,5
49018,PAUSED,2
39711,CURRENT,3388
39711,PLANNING,13291
39711,COMPLETED,13008
39711,DROPPED,1334
39711,PAUSED,2243
51274,CURRENT,14
51274,PLANNING,267
51274,COMPLETED,922
51274,DROPPED,2
51274,PAUSED,2
12365,CURRENT,890
12365,PLANNING,10607
12365,COMPLETED,33984
12365,DROPPED,418
12365,PAUSED,729
102608,CURRENT,45
102608,PLANNING,960
102608,COMPLETED,1714
102608,DROPPED,26
102608,PAUSED,58
10030,CURRENT,1038
10030,PLANNING,10066
10030,COMPLETED,37124
10030,DROPPED,640
10030,PAUSED,1060
102609,CURRENT,26
102609,PLANNING,689
102609,COMPLETED,1640
102609,DROPPED,20
102609,PAUSED,29
7674,CURRENT,3293
7674,PLANNING,35305
7674,COMPLETED,48638
7674,DROPPED,2793
7674,PAUSED,3563
15711,CURRENT,47
15711,PLANNING,1186
15711,COMPLETED,1256
15711,DROPPED,56
15711,PAUSED,53
86513,CURRENT,18
86513,PLANNING,301
86513,COMPLETED,657
86513,DROPPED,6
86513,PAUSED,3
133105,CURRENT,6
133105,PLANNING,178
133105,COMPLETED,19
133105,DROPPED,2
133105,PAUSED,1
95994,CURRENT,5
95994,PLANNING,133
95994,COMPLETED,51
95994,DROPPED,6
95994,PAUSED,2
30043,CURRENT,1530
30043,PLANNING,7623
30043,COMPLETED,6134
30043,DROPPED,362
30043,PAUSED,828
102052,CURRENT,49
102052,PLANNING,172
102052,COMPLETED,200
102052,DROPPED,3
102052,PAUSED,5
15,CURRENT,1812
15,PLANNING,8001
15,COMPLETED,11785
15,DROPPED,1705
15,PAUSED,2007
6418,CURRENT,14
6418,PLANNING,318
6418,COMPLETED,777
6418,DROPPED,22
6418,PAUSED,12
1317,CURRENT,20
1317,PLANNING,406
1317,COMPLETED,886
1317,DROPPED,26
1317,PAUSED,15
30047,CURRENT,2056
30047,PLANNING,6205
30047,COMPLETED,10309
30047,DROPPED,988
30047,PAUSED,1145
53504,CURRENT,24
