media_id,related_media_id,relation_type
68,2589,SIDE_STORY
2589,68,PARENT
71835,52519,PARENT
160524,52519,PARENT
13851,52519,ADAPTATION
13851,13663,PARENT
149278,52519,PARENT
3455,5667,SEQUEL
3455,30671,ADAPTATION
119493,108482,ALTERNATIVE
119493,142849,ADAPTATION
119493,31012,OTHER
119493,30671,OTHER
142849,119493,ADAPTATION
108482,119493,ALTERNATIVE
31012,119493,OTHER
86685,30671,PARENT
47606,50550,ADAPTATION
47606,7590,ALTERNATIVE
47606,30671,CHARACTER
7590,50550,ADAPTATION
7590,8599,SIDE_STORY
7590,47606,ALTERNATIVE
50550,7590,ADAPTATION
50550,47606,ADAPTATION
8599,7590,PARENT
49018,30671,ALTERNATIVE
39711,12365,ADAPTATION
39711,7674,ADAPTATION
39711,10030,ADAPTATION
39711,86513,PREQUEL
39711,95994,ADAPTATION
39711,51274,SIDE_STORY
39711,43891,CHARACTER
39711,133105,SPIN_OFF
51274,39711,PARENT
12365,10030,PREQUEL
12365,15711,PREQUEL
12365,39711,ADAPTATION
12365,102608,SIDE_STORY
102608,12365,PARENT
10030,7674,PREQUEL
10030,12365,SEQUEL
10030,39711,ADAPTATION
10030,15711,SUMMARY
10030,102609,SIDE_STORY
102609,10030,PARENT
7674,10030,SEQUEL
7674,39711,ADAPTATION
7674,15711,SUMMARY
15711,12365,SEQUEL
15711,7674,SUMMARY
15711,10030,SUMMARY
86513,39711,SEQUEL
133105,39711,PARENT
95994,39711,ADAPTATION
30043,15,ADAPTATION
30043,102052,ALTERNATIVE
30043,41926,CHARACTER
30043,43891,CHARACTER
102052,30043,ALTERNATIVE
15,30043,ADAPTATION
15,1317,SIDE_STORY
15,6418,SIDE_STORY
6418,15,PARENT
1317,15,PARENT
30047,1604,ADAPTATION
30047,43891,CHARACTER
30047,53504,SPIN_OFF
30047,47288,SIDE_STORY
30047,91752,SIDE_STORY
53504,30047,PARENT
1604,30047,ADAPTATION
1604,8532,SIDE_STORY
1604,9023,SIDE_STORY
1604,143393,OTHER
143393,1604,PARENT
143393,21677,PARENT
21677,85227,ADAPTATION
21677,143393,OTHER
85227,21677,ADAPTATION
8532,1604,PARENT
9023,1604,PARENT
91752,30047,PARENT
47288,30047,PARENT
135895,31414,ALTERNATIVE
53598,31414,ADAPTATION
16718,9863,PARENT
10775,9863,PARENT
169000,30044,ADAPTATION
169000,9969,PARENT
20760,918,PARENT
20760,9969,PARENT
20760,30044,ADAPTATION
20882,15417,PARENT
21588,30044,ADAPTATION
21588,20996,PARENT
21501,20996,PARENT
2951,30044,ADAPTATION
2951,918,PARENT
34836,30044,OTHER
7472,30044,ADAPTATION
7472,918,ALTERNATIVE
7472,9735,OTHER
9735,7472,PARENT
52810,30044,OTHER
95458,30044,PARENT
75757,20923,ADAPTATION
75757,86160,SPIN_OFF
75757,21518,ADAPTATION
75757,98702,ADAPTATION
75757,21691,ADAPTATION
75757,99255,ADAPTATION
75757,100773,ADAPTATION
75757,101924,ADAPTATION
75757,109963,ADAPTATION
75757,110338,SEQUEL
75757,114043,ADAPTATION
75757,105229,OTHER
75757,90653,SIDE_STORY
75757,96093,SIDE_STORY
75757,128605,OTHER
75757,78151,CHARACTER
75757,69883,CHARACTER
75757,65243,CHARACTER
75757,61499,CHARACTER
75757,30044,CHARACTER
75757,30013,CHARACTER
110338,75757,PREQUEL
110338,114043,ADAPTATION
114043,109963,PREQUEL
114043,75757,ADAPTATION
114043,110338,ADAPTATION
109963,75757,ADAPTATION
109963,100773,PREQUEL
109963,114043,SEQUEL
100773,99255,PREQUEL
100773,75757,ADAPTATION
100773,101924,SIDE_STORY
100773,109963,SEQUEL
101924,100773,PARENT
101924,75757,ADAPTATION
99255,75757,ADAPTATION
99255,98702,PREQUEL
99255,100773,SEQUEL
99255,21518,PREQUEL
21518,20923,PREQUEL
21518,75757,ADAPTATION
21518,98702,SEQUEL
21518,99255,SEQUEL
20923,75757,ADAPTATION
20923,21518,SEQUEL
20923,21691,SIDE_STORY
21691,20923,PARENT
21691,75757,ADAPTATION
98702,75757,ADAPTATION
98702,21518,PREQUEL
98702,99255,SEQUEL
105229,75757,OTHER
86160,75757,PARENT
90653,75757,PARENT
61499,18897,ADAPTATION
61499,54172,ALTERNATIVE
61499,20728,ADAPTATION
61499,20876,ADAPTATION
61499,85825,SPIN_OFF
61499,106790,SIDE_STORY
61499,77000,CHARACTER
61499,85194,CHARACTER
61499,90097,SIDE_STORY
61499,75757,CHARACTER
85825,61499,PARENT
85825,20876,ADAPTATION
85825,20728,ADAPTATION
20728,18897,PARENT
20728,61499,ADAPTATION
20728,85825,ADAPTATION
18897,61499,ADAPTATION
18897,20728,SIDE_STORY
18897,20876,SEQUEL
18897,106495,OTHER
20876,18897,PREQUEL
20876,61499,ADAPTATION
20876,85825,ADAPTATION
20876,119947,OTHER
119947,20876,PARENT
106495,18897,PARENT
106495,5081,PARENT
5081,15689,PREQUEL
5081,11597,SEQUEL
5081,44893,ADAPTATION
5081,21520,SIDE_STORY
5081,106495,OTHER
5081,54499,CHARACTER
5081,101311,ALTERNATIVE
5081,143663,ALTERNATIVE
54499,5081,CHARACTER
15689,5081,SEQUEL
15689,21400,PREQUEL
15689,143704,ADAPTATION
21400,21399,PREQUEL
21400,15689,SEQUEL
21400,143701,ADAPTATION
143701,9260,ADAPTATION
143701,101311,ADAPTATION
143701,44893,PREQUEL
143701,21400,ADAPTATION
143701,21399,ADAPTATION
143701,143703,SEQUEL
9260,21399,SEQUEL
9260,143701,ADAPTATION
21399,9260,PREQUEL
21399,21400,SEQUEL
21399,143701,ADAPTATION
44893,5081,ADAPTATION
44893,101311,ADAPTATION
44893,143701,SEQUEL
101311,44893,ADAPTATION
101311,5081,ALTERNATIVE
101311,143663,ADAPTATION
101311,143701,ADAPTATION
101311,143704,ADAPTATION
143663,101311,ADAPTATION
143663,5081,ALTERNATIVE
143704,143703,PREQUEL
143704,53751,SEQUEL
143704,15689,ADAPTATION
143704,101311,ADAPTATION
53751,17074,ADAPTATION
53751,143704,PREQUEL
53751,143720,SEQUEL
17074,11597,PREQUEL
17074,53751,ADAPTATION
17074,21520,SIDE_STORY
17074,104434,SIDE_STORY
17074,21262,SEQUEL
17074,143720,ADAPTATION
17074,143722,ADAPTATION
17074,143724,ADAPTATION
17074,143726,ADAPTATION
143720,17074,ADAPTATION
143720,53751,PREQUEL
143720,143721,SEQUEL
143721,20593,ADAPTATION
143721,143720,PREQUEL
143721,143722,SEQUEL
20593,100815,PREQUEL
20593,143721,ADAPTATION
100815,20593,SEQUEL
100815,21745,PREQUEL
100815,143749,ADAPTATION
21745,100815,SEQUEL
21745,20918,PREQUEL
21745,143747,ADAPTATION
143747,21745,ADAPTATION
143747,143743,PREQUEL
143747,21262,ADAPTATION
