media_id,synonym
128605,Shokugeki no Souma Pilot
128605,Food Wars Pilot
44022,กินทามะ ปี 3 ห้อง Z ครูซ่ากินปาจิ
44022,3-Z Class's Ginpachi-sensei
44022,3rd Year Class Z Ginpachi-sensei
162890,3-Z Class's Ginpachi-sensei
162890,3rd Year Class Z Ginpachi-sensei
21288,Monster Strike 2016
101926,Monster Strike the Movie: Beyond the Sky
107908,Pandora and Yawn
107908,Kouya no Juugeki-sen
107908,Seirei to Kaijuu no Machi
3008,Yattaman
3008,Yattaaman
4578,Time Bokan OVA
3915,Time Fighter
3915,Time Fighters in The Land of Fantasy
5475,Time Boken 2000: Kiramekiman
5475,Kaitou Kiramekiman
5475,Thief Glittering Man
6889,Time Bokan Series: Zendaman
8553,Rescueman
8553,I predatori del tempo
8011,Go for it
8011,Ippatsuman!
8011,Time Machine Series Ippatsuman the Antihero
11873,Guzura
11873,Gozula
11873,Hey I'm Guzura!
3683,Kabba Totto
3683,Tic Tac Toons
3683,Ippotommaso
1445,Mach Go Go Go
37546,Mach Go Go Go
3571,Mach Go Go Go
3571,Mach Go Go Go: Restart
5287,Homerun Kanta
4808,Inner Destructive Fist Polymar
4808,Hurricane Polimar
3398,New Hurricane Polymar
168408,Neo-Human Casshern R
4013,Paul no Miracle Dai Sakusen
4013,Paul's Miracle War
4013,Paul's Miraculous Adventures
4013,Il fantastico mondo di Paul
2574,Saban's Adventures of Pinocchio
6989,Uchu Ace
6989,Uchuu Eesu
6989,Uchu Esu
1458,Tekkaman
1458,the Space Knight
1458,Tekkaman: El caballero galáctico
1459,Teknoman
1459,Star Knight Tekkaman Blade
1460,Tekkaman Blade 2
1460,Space Knight Tekkaman Blade 2
1460,Space Knight Tekkaman Blade OVA
1460,Uchu no Kishi Tekkaman Blade OVA
2300,Uchuu no Kishi Tekkaman Blade - S1 Twin Blood
307,Demetan Croaker
307,The Boy Frog
307,The Brave Frog
307,"Demetan, der Froschjunge"
307,Abenteuer am Regenbogenteich
307,Eventyret i Regnbuedammen
3858,Insect Story: Honey Bee Hutch
