media_id,score,amount
119947,60,1388
119947,70,2158
119947,80,1223
119947,90,554
119947,100,402
106495,10,100
106495,20,53
106495,30,123
106495,40,177
106495,50,648
106495,60,781
106495,70,864
106495,80,364
106495,90,213
106495,100,363
5081,10,653
5081,20,328
5081,30,701
5081,40,1166
5081,50,2506
5081,60,4876
5081,70,14253
5081,80,32972
5081,90,40012
5081,100,23654
54499,10,26
54499,30,1
54499,40,4
54499,50,15
54499,60,15
54499,70,67
54499,80,55
54499,90,19
54499,100,20
15689,10,242
15689,20,138
15689,30,298
15689,40,679
15689,50,2065
15689,60,4965
15689,70,15661
15689,80,25415
15689,90,13688
15689,100,6440
21400,10,215
21400,20,76
21400,30,147
21400,40,244
21400,50,574
21400,60,1277
21400,70,4130
21400,80,11690
21400,90,23167
21400,100,19144
143701,10,17
143701,20,1
143701,30,1
143701,40,3
143701,50,18
143701,60,11
143701,70,55
143701,80,178
143701,90,468
143701,100,589
9260,10,193
9260,20,84
9260,30,187
9260,40,347
9260,50,894
9260,60,2061
9260,70,7266
9260,80,18082
9260,90,18892
9260,100,10337
21399,10,176
21399,20,61
21399,30,166
21399,40,295
21399,50,685
21399,60,1532
21399,70,5550
21399,80,15994
21399,90,23520
